Report,SSRS_Visual_Status_indicator_StateName,SSRS_Visual_Status_indicator_Red_StartValue,SSRS_Visual_Status_indicator_Red_EndValue,SSRS_Visual_Status_indicator_Green_StartValue,SSRS_Visual_Status_indicator_Green_EndValue,ReportStatus,ReportNote,MinOfLastUpdated,Refresh_Date
All Brands - Current Inventory by Brand(New),Green,0,0,1,1,Green,Report is fine.,11/29/2019 2:24:41 PM,4/14/2020 6:15:39 PM

Brand,SKU,Stock,InventoryDate,IsDropShip
BAL,2807680,484,2020-04-14 16:00:00,No
BAL,2808870,480,2020-04-14 16:00:00,No
BAL,4003118,473,2020-04-14 16:00:00,No
BAL,4003119,472,2020-04-14 16:00:00,No
BAL,4002507,471,2020-04-14 16:00:00,No
BAL,2805211,467,2020-04-14 16:00:00,No
BAL,2807678,463,2020-04-14 16:00:00,No
BAL,P-KITCLRLEDGRN,459,2020-04-14 16:00:00,No
BAL,4001901,451,2020-04-14 16:00:00,Yes
BAL,4001703,450,2020-04-14 16:00:00,No
BAL,4002116,448,2020-04-14 16:00:00,No
BAL,5023886,448,2020-04-14 16:00:00,No
BAL,2807890,432,2020-04-14 16:00:00,No
BAL,4002955,431,2020-04-14 16:00:00,No
BAL,5024192,431,2020-04-14 16:00:00,No
BAL,2805212,430,2020-04-14 16:00:00,No
BAL,4002823,427,2020-04-14 16:00:00,No
BAL,4002870,426,2020-04-14 16:00:00,No
BAL,4002233,425,2020-04-14 16:00:00,No
BAL,4002238,421,2020-04-14 16:00:00,No
BAL,2808871,419,2020-04-14 16:00:00,No
BAL,4002415,417,2020-04-14 16:00:00,No
BAL,5020952,417,2020-04-14 16:00:00,No
BAL,4002712,414,2020-04-14 16:00:00,No
BAL,2807866,410,2020-04-14 16:00:00,No
BAL,4002727,407,2020-04-14 16:00:00,No
BAL,4002820,404,2020-04-14 16:00:00,No
BAL,2804834,402,2020-04-14 16:00:00,No
BAL,2808867,400,2020-04-14 16:00:00,No
BAL,4002003,397,2020-04-14 16:00:00,Yes
BAL,4002819,397,2020-04-14 16:00:00,No
BAL,2808865,393,2020-04-14 16:00:00,No
BAL,4002401,392,2020-04-14 16:00:00,No
BAL,4002437,390,2020-04-14 16:00:00,No
BAL,2800861,380,2020-04-14 16:00:00,No
BAL,4002322,379,2020-04-14 16:00:00,No
BAL,4001152,376,2020-04-14 16:00:00,No
BAL,2801435,372,2020-04-14 16:00:00,No
BAL,4002218,372,2020-04-14 16:00:00,No
BAL,4001838,367,2020-04-14 16:00:00,No
BAL,4002852,358,2020-04-14 16:00:00,No
BAL,5037966,356,2020-04-14 16:00:00,No
BAL,4001210,348,2020-04-14 16:00:00,No
BAL,4001934,346,2020-04-14 16:00:00,No
BAL,4001209,344,2020-04-14 16:00:00,No
BAL,2808148,343,2020-04-14 16:00:00,No
BAL,5024189,336,2020-04-14 16:00:00,No
BAL,4002375,335,2020-04-14 16:00:00,No
BAL,4002703,333,2020-04-14 16:00:00,No
BAL,2807973,332,2020-04-14 16:00:00,No
BAL,4002340,332,2020-04-14 16:00:00,No
BAL,4002896,332,2020-04-14 16:00:00,No
BAL,4002709,331,2020-04-14 16:00:00,No
BAL,4001576,330,2020-04-14 16:00:00,No
BAL,2805213,329,2020-04-14 16:00:00,No
BAL,2807863,328,2020-04-14 16:00:00,No
BAL,2800864,327,2020-04-14 16:00:00,No
BAL,4001563,325,2020-04-14 16:00:00,No
BAL,P-KITCLRGRN,324,2020-04-14 16:00:00,No
BAL,2807868,320,2020-04-14 16:00:00,No
BAL,4003126,320,2020-04-14 16:00:00,No
BAL,4002049,319,2020-04-14 16:00:00,No
BAL,2808241,317,2020-04-14 16:00:00,No
BAL,4002708,314,2020-04-14 16:00:00,No
BAL,2803031,314,2020-04-14 16:00:00,No
BAL,4002934,314,2020-04-14 16:00:00,No
BAL,4002152,311,2020-04-14 16:00:00,No
BAL,4002905,310,2020-04-14 16:00:00,No
BAL,4002302,310,2020-04-14 16:00:00,No
BAL,4002436,307,2020-04-14 16:00:00,No
BAL,4002714,307,2020-04-14 16:00:00,No
BAL,4002473,305,2020-04-14 16:00:00,No
BAL,4003122,305,2020-04-14 16:00:00,No
BAL,4002711,303,2020-04-14 16:00:00,No
BAL,4002305,302,2020-04-14 16:00:00,No
BAL,5023562,298,2020-04-14 16:00:00,No
BAL,5024109,298,2020-04-14 16:00:00,No
BAL,P-FLIPBUCKLE15,295,2020-04-14 16:00:00,No
BAL,4001574,295,2020-04-14 16:00:00,No
BAL,4001575,293,2020-04-14 16:00:00,No
BAL,2808866,289,2020-04-14 16:00:00,No
BAL,4003115,285,2020-04-14 16:00:00,No
BAL,4002702,284,2020-04-14 16:00:00,No
BAL,4002912,283,2020-04-14 16:00:00,No
BAL,2808421,282,2020-04-14 16:00:00,No
BAL,4002310,280,2020-04-14 16:00:00,No
BAL,2807985,278,2020-04-14 16:00:00,No
BAL,4002856,275,2020-04-14 16:00:00,No
BAL,4001956,274,2020-04-14 16:00:00,No
BAL,P-FLIPBUCKLE2,274,2020-04-14 16:00:00,No
BAL,4002891,273,2020-04-14 16:00:00,No
BAL,4002843,273,2020-04-14 16:00:00,No
BAL,5023885,272,2020-04-14 16:00:00,No
BAL,4003120,271,2020-04-14 16:00:00,No
BAL,4002841,269,2020-04-14 16:00:00,No
BAL,4002902,266,2020-04-14 16:00:00,No
BAL,4000894,266,2020-04-14 16:00:00,No
